[2026-08-04 10:47:38] === starting DEFORM training: DLO_type=d003_v054 train_time_horizon=20 eval_time_horizon=100 max_update_steps=200 ===
[2026-08-04 10:47:38] GPU: NVIDIA GeForce RTX 2060 (cuda:0)
[2026-08-04 10:47:38] logging to logs/train_d003_v054.log
[2026-08-04 10:47:39] [data] precomputing mu_0 (bishop frames) for 56 train episodes, 8069056 frames total, on CPU
[2026-08-04 10:47:40] [data] [░░░░░░░░░░░░░░░░░░░░]   0.0% frames 2000/8069056 ep 1/56  1843 frames/s  ETA 4376s
[2026-08-04 10:47:41] [data] [░░░░░░░░░░░░░░░░░░░░]   0.0% frames 4000/8069056 ep 1/56  1875 frames/s  ETA 4302s
[2026-08-04 10:47:42] [data] [░░░░░░░░░░░░░░░░░░░░]   0.1% frames 6000/8069056 ep 1/56  1917 frames/s  ETA 4207s
[2026-08-04 10:47:43] [data] [░░░░░░░░░░░░░░░░░░░░]   0.1% frames 8000/8069056 ep 1/56  1939 frames/s  ETA 4158s
[2026-08-04 10:47:46] [data] [░░░░░░░░░░░░░░░░░░░░]   0.1% frames 10000/8069056 ep 2/56  1458 frames/s  ETA 5526s
[2026-08-04 10:47:47] [data] [░░░░░░░░░░░░░░░░░░░░]   0.1% frames 12000/8069056 ep 2/56  1521 frames/s  ETA 5297s
[2026-08-04 10:47:48] [data] [░░░░░░░░░░░░░░░░░░░░]   0.2% frames 14000/8069056 ep 2/56  1571 frames/s  ETA 5127s
[2026-08-04 10:47:49] [data] [░░░░░░░░░░░░░░░░░░░░]   0.2% frames 16000/8069056 ep 2/56  1612 frames/s  ETA 4995s
[2026-08-04 10:47:50] [data] [░░░░░░░░░░░░░░░░░░░░]   0.2% frames 18000/8069056 ep 2/56  1642 frames/s  ETA 4902s
[2026-08-04 10:47:51] [data] [░░░░░░░░░░░░░░░░░░░░]   0.2% frames 20000/8069056 ep 2/56  1671 frames/s  ETA 4817s
[2026-08-04 10:47:52] [data] [░░░░░░░░░░░░░░░░░░░░]   0.3% frames 22000/8069056 ep 2/56  1691 frames/s  ETA 4758s
[2026-08-04 10:47:53] [data] [░░░░░░░░░░░░░░░░░░░░]   0.3% frames 24000/8069056 ep 2/56  1710 frames/s  ETA 4704s
[2026-08-04 10:47:54] [data] [░░░░░░░░░░░░░░░░░░░░]   0.3% frames 26000/8069056 ep 2/56  1720 frames/s  ETA 4677s
[2026-08-04 10:47:55] [data] [░░░░░░░░░░░░░░░░░░░░]   0.3% frames 28000/8069056 ep 2/56  1730 frames/s  ETA 4648s
[2026-08-04 10:47:56] [data] [░░░░░░░░░░░░░░░░░░░░]   0.4% frames 30000/8069056 ep 2/56  1745 frames/s  ETA 4607s
[2026-08-04 10:47:57] [data] [░░░░░░░░░░░░░░░░░░░░]   0.4% frames 32000/8069056 ep 2/56  1759 frames/s  ETA 4570s
